id,point,type
1,"-8.05508, -34.88226",Point
2,"-8.07701, -34.90919",Point
3,"-8.09803, -34.91224",Point
4,"-8.06046, -34.92576",Point
5,"-8.10793, -34.92706",Point
6,"-8.02676, -34.91773",Point
7,"-8.03876, -34.90176",Point
8,"-8.05045, -34.92105",Point
9,"-8.11574, -34.89552",Point
10,"-8.05351, -34.92892",Point
11,"-8.0313, -34.95573",Point
12,"-8.03216, -34.88138",Point
13,"-8.05263, -34.88374",Point
14,"-8.02793, -34.89293",Point
15,"-8.05661, -34.89772",Point
16,"-8.04511, -34.90207",Point
17,"-8.09845, -34.91019",Point
18,"-8.03989, -34.90401",Point
19,"-8.03812, -34.90057",Point
20,"-8.05664, -34.89807",Point
21,"-8.10695, -34.92721",Point
22,"-8.02016, -34.85586",Point
23,"-7.95774, -34.83079",Point
24,"-8.03309, -34.90729",Point
25,"-8.01313, -34.8724",Point
26,"-8.16331, -34.92498",Point
27,"-8.06219, -34.89757",Point
28,"-8.05961, -34.87995",Point
29,"-8.04448, -34.87489",Point
30,"-8.06392, -34.87848",Point
31,"-8.04425, -34.91665",Point
32,"-8.01313, -34.8724",Point
33,"-8.01852, -34.97043",Point