Carimbo de data/hora,Avaliador(a) 1,Avaliador(a) 2,Data,Hora Início,Trecho Avaliado,Início do trecho,Fim do trecho,1. TIPO DE ESTRUTURA,2. FLUXO DA ESTRUTURA,3. FLUXO DA VIA ,4. LOCALIZAÇÃO DA ESTRUTURA,Velocidade máxima (km/h),Faixas de rolamento contíguas à estrutura. Quantidade:,6. TIPO DE SEGREGADORES,7. PROTEÇÃO CONTRA INVASÃO DE AUTOMÓVEL,8.1 Segregadores,Qtde de acessos:,Qtde Vias transversais COM acesso:,Qtde Vias transversais SEM acesso:,Quantidade de acessos aplicabilidade:,9.1 Tipo de pavimento,9.2 Situação de conservação do pavimento,10. SINUOSIDADE,11. SOMBREAMENTO,12. SITUAÇÕES DE RISCO (RELATIVAS A AUTOMÓVEIS),Paradas de ônibus ao longo,Cruzamentos com veículos em curva de ângulo aberto e sem tratamento de redução de velocidade,Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura,Troca lado da estrutura sem redutores de velocidade ou semáforos,Conversão à esquerda de automóvel com invisibilidade de ciclista,Fim repentino de estrutura no contrafluxo,Outras situações de risco,Total de situações de risco,13. OBSTÁCULOS PERMANENTES (RELATIVOS AO ASFALTO),Bueiros,Raízes,Buracos,Valas profundas ao longo da estrutura,Desníveis,Outros obstáculos,Total de obstáculos,"Se valas, largura desta",Largura da área transitável da estrutura (metros):,Largura da faixa de amortecimento da estrutura (cm):,Largura da faixa de rolamento contígua à estrutura (metros):,Largura total da VIA incluindo a estrutura (metros):,Estacionamento:,15. CONTROLE DA VELOCIDADE MÁXIMA DA VIA,Sinalização VERTICAL. Qtde,Sinalização HORIZONTAL. Qtde,Travessia de pedestre em nível. Qtde,Lombadas físicas. Qtde,Radar/Lombada Eletrônica. Qtde,Outros elementos (nome do elemento e Qtde),16.1 Indicação de início (placa R-34),16.2 Indicação de fim (placa R-34),16.3 Indicação AO LONGO da estrutura (placa R-34). Qtde:,16.4 Indicação de travessias cicloviárias nas VIAS TRANSVERSAIS Travessias COM,16.4 Indicação de travessias cicloviárias nas VIAS TRANSVERSAIS Travessias SEM,17.1 Padrão de pintura vermelha,17.2 Situação da pintura vermelha ,"Existem, em boas condições. Qtde:","Existem, parcialmente apagados. Qtde:",Travessia sem pintura. Qtde:,17.4 Pictogramas ao longo do trecho,"Existem, em boas condições. Qtde:","Existem, parcialmente apagados. Qtde",17.5 Setas ao longo da estrutura,"Existem, em boas condições. Qtde:","Existem, parcialmente apagadas. Qtde: ",Dedicada para ciclistas. Qtde:,Geral na via do mesmo lado da estrutura. Qtde:,Geral na via do outro lado a infraestrutura. Qtde:,19. HORÁRIO FIM,"20. ANOTAÇÕES, OBSERVAÇÕES E COMENTÁRIOS",Foto página da frente (ficha de avaliação),Foto página de trás (ficha de avaliação),Fotos da estrutura,Comentários,length_google_maps,Via,geo_id,form_id
06/08/2023 16:20:20,Alex Neris,Pedro Amorim,05/07/2023,15:30:00,Ondina,Prefeitura da Aeronáutica,IBH,ciclovia,bidirecional,Mão dupla,Sobre a calçada,50,2,Canteiros,"SE CICLOVIA, segregação impede completamente a invasão de automóvel e não há trechos desprotegidos",Segregadores IMPEDEM o acesso,15,8,0,,Concreto,Irregularidades que demandam desvio para circulação,"O traçado é sinuoso, exigindo atenção",Não há árvores nem mudas,Paradas de ônibus ao longo,3,0,0,0,0,0,0,3,Desníveis,0,0,0,0,1,0,0,,"2,4",10,"7,3","9,7",Estacionamento proibido na via,,15,0,0,0,0,0,continua de outra estrutura,continua em outra estrutura,5,0,8,Pintada de vermelho com interrupções,"A pintura está boa, mas FALHA em ALGUNS pontos",2,0,10,,21,5,Não existem,0,0,45,45,20,17:39:00,"O acesso em Ondina, embora seja continuação da ciclovia da Barra, é feito após uma interrupção por um posto de gasolina, obrigando as pessoas ciclistas ou a seguirem dentro do posto de gasolina ou a circularem pela avenida num trecho muito movimentado, de cruzamento de vias e curva, oferecendo risco considerável às em ambas as alternativas.",https://drive.google.com/open?id=1_HyN2jPSUJTV7Nt1ETJSpHvmOlzwkjYN,,,,"3,02",Ondina,4,1
06/08/2023 16:31:08,Alex Neris,Pedro Amorim,05/07/2023,15:30:00,Rio Vermelho - R. da Paciência,Rio Vermelho (Praia da Paciência),Rio Vermelho (Teatro SESI),ciclovia,bidirecional,Mão dupla,Sobre a calçada,40,4,Canteiros,"SE CICLOVIA, segregação impede completamente a invasão de automóvel e não há trechos desprotegidos",Segregadores DIFICULTAM o acesso parcialmente,2,0,0,,Concreto,Irregularidades que demandam desvio para circulação,"O traçado é sinuoso, exigindo atenção",Somente mudas novas,Nenhuma situação de risco,0,0,0,0,0,0,0,0,Nenhum obstáculo,0,0,0,0,0,0,0,,"2,2",10,"12,9","15,1",Estacionamento proibido na via,,1,1,0,0,0,0,não,sim,0,0,0,Toda área de circulação pintada de vermelho,"A pintura está boa, COMPLETA e visível",0,0,0,,9,0,Não existem,0,0,23,14,10,17:39:00,A ciclovia inicia bruscamente na Praia da Paciência e há uma sinalização de que é proibido andar de bicicleta na calçada entre esta ciclovia e a ciclofaixa entre Ondina e Rio Vermelho.,https://drive.google.com/open?id=1bAk6Idtj6fLedloSTP3xmjxGZ3NCFFRI,,,,"1,9",Rio Vermelho - R. da Paciência,3,2
06/08/2023 16:49:04,Alex Neris,Pedro Amorim,05/07/2023,15:30:00,Oceânica - Ondina / Rio Vermelho,Ondina (IBH),Rio Vermelho (Praia da Paciência),ciclofaixa,bidirecional,Mão dupla,Em um dos bordos de via de mão dupla,60,2,Canteiros,Poucos trechos COM segregadores dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Concreto,Irregularidades que demandam desvio para circulação,"O traçado é sinuoso, exigindo atenção",Não há árvores nem mudas,saídas de rua (tráfego lento) sem sinalização,0,0,0,0,0,0,2,2,Desníveis,0,0,0,0,1,0,0,,"2,4",10,"7,3","9,7",Estacionamento proibido na via,,4,0,0,0,0,0,continua de outra estrutura,continua em outra estrutura,6,0,4,Pintada de vermelho com interrupções,"A pintura está boa, mas FALHA em ALGUNS pontos",2,0,3,,1,3,Não existem,0,0,0,50,20,17:39:00,"A maior parte do trecho é ciclofaixa e os últimos 400 m são parcialmente segregados, como uma ciclovia.  ",https://drive.google.com/open?id=11mUGbmk1lIMOdrT3Bret7dlw0CtyPMBv,,,,"1,12",Ondina,4,3
06/08/2023 17:01:20,Alex Neris,Pedro Amorim,11/07/2023,15:25:00,Manoel Dias da Silva (Pituba - Amaralina,Posto de Gasolina (Pituba),Praça dos Combatentes (Amaralina),ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo esquerdo da via de mão única,60,4,"Sinalização com pintura, Tachas ou tachões","SE CICLOFAIXA, impossível automóvel invadir a estrutura sem ultrapassar por segregadores",Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,"Pequenas imperfeições, como fissuras",O traçado é completamente reto,Não há árvores nem mudas,Nenhuma situação de risco,0,0,0,0,0,0,0,0,Desníveis,0,0,0,0,0,0,0,,2,10,14,16,"Estacionamento dedicado de um lado, segregado da circulação",,5,3,0,0,0,0,sim,não,28,0,26,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura está boa, COMPLETA e visível",11,1,4,,80,0,Não existem,0,0,0,75,0,17:00:00,Alguns trechos ladeados por estacionamentos de estabelecimentos comerciais oferecem risco por estarem frequentemente ocupados com carros. ,https://drive.google.com/open?id=1_GGAHtlAEpZATJFNGzvANfddpDEGIkBt,,,,"3,05",Av. Manoel Dias da Silva,9,4
06/08/2023 17:53:36,Alex Neris,Pedro Amorim,27/07/2023,10:40:00,BRT,Centro Médico Salvador,Ed. Capemi,ciclovia,bidirecional,Mão dupla,Isoladas (em área verde),Não se aplica: estrutura isolada.,-1,Canteiros,"SE CICLOVIA, segregação impede completamente a invasão de automóvel e não há trechos desprotegidos",Segregadores IMPEDEM o acesso,0,0,1,,Concreto,Falhas que demandam redução de velocidade ou parada,"O traçado é sinuoso, exigindo atenção",Não há árvores nem mudas,Não se aplica: estrutura isolada.,0,0,0,0,0,0,0,0,Buracos,0,0,24,0,0,1,24,,"2,4",0,"3,5","23,5",Estacionamento proibido na via,Nenhum elemento de controle de velocidade na via,0,0,0,0,0,0,não,não,0,0,0,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos",A pintura é falha em VÁRIOS pontos,2,0,0,,29,35,,29,35,36,41,0,12:32:00,"A estrutura é boa, mas está visivelmente abandonada. Há pelo menos um trecho da ciclovia que merece atenção quanto à segurança, em virtude de oferecer pouca possibilidade de escape em caso de assalto, sendo uma área ocupada por pessoas em situação de rua, com pouca visibilidade para quem está na via pública. Tem uma boca de lobo aberta e muitos buracos nos muros, por onde vazam terra, pedra e mesmo fios de eletricidade que não sabemos se oferecem risco de choque elétrico.
",https://drive.google.com/open?id=10hxwIwv5n48WYVSLnux5jM9A1BIj5ynf,,,,"2,4",BRT,7,5
08/08/2023 15:41:08,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB - 4ª Avenida Centro Administrativo da Bahia,Estação de Metrô Pituaçu,Rótula Sussuarana,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Irregularidades que demandam desvio para circulação,O traçado é muito sinuoso ou possui curvas com obstáculos que impedem visualização de entorno ou parte da estrutura,Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura, Ponto de Taxi",3,0,9,0,0,0,1,13,"Valas profundas ao longo da estrutura, Desníveis",0,0,0,1,1,0,1,30,"1,15",25,"3,15","10,15","Estacionamento dedicado de um lado, segregado da circulação",,2,0,0,0,1,0,não,continua em outra estrutura,0,0,2,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,9,0,,0,17,Não existem,0,0,0,0,26,11:45:00,"O trecho tem um aclive acentuado e muitas travessias de carro e ônibus por se tratar de acessos a secretarias, terminal de ônibus, SAC, embora não tenha sinalização de travessia de ciclistas. 

Pela característica do terreno e escoamento pluvial, não existem bueiros e as valas sem manutenção ao  longo da estrutura deixam as ferragens das lajes expostas com risco para ciclistas e pedestres. 

Ao final do trecho, o contorno da rótula seria o caminho natural para continuidade da ciclofaixa e acesso à 5ª Avenida, mas a estrutura segue desnecessariamente por mais 300m, atravessada por dois acessos, dois pontos de ônibus e, inexplicavelmente, interrompida por um ponto de táxi, que demanda do ciclista trafegar pela faixa de rolamento.",https://drive.google.com/open?id=1wf_QMysHkEZFSVc6ZRkx6p69cY43BztI,,,,"0,95",CAB,15,6
08/08/2023 15:54:52,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB - 5ª Avenida Centro Administrativo da Bahia,Cruzamento 3ª Avenida,PRODEB,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,"Pequenas imperfeições, como fissuras",O traçado é muito sinuoso ou possui curvas com obstáculos que impedem visualização de entorno ou parte da estrutura,Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura",3,0,6,0,0,0,0,9,Desníveis,0,0,0,0,1,0,0,,"1,15",25,"3,1","9,9","Estacionamento dedicado de um lado, segregado da circulação",,2,0,0,0,0,0,continua de outra estrutura,continua em outra estrutura,0,0,4,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,2,4,,0,32,Não existem,0,0,0,11,5,11:45:00,"o  trecho tem muitos cruzamentos críticos, sem sinalização alguma ou pintura. Na principal rótula do CAB não há nenhuma travessia com pintura. 

Muita areia na estrutura e longos trajetos desnecessários dividindo espaço com ônibus nas paradas. As ciclofaixas no asfalto, poderiam ser substituídas por ciclovias segregadas entre os órgãos, como a Assembleia Legislativa e seu vasto gramado e árvores com sombreamento. 
",https://drive.google.com/open?id=1as_6GND3XFceA1tSsoa87Wl_tFaj9ZWQ,,,,"0,95",CAB,15,7
08/08/2023 16:02:05,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB - 4ª Avenida Centro Administrativo da Bahia,PRODEB,Estação Metrô Pituaçu,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Irregularidades que demandam desvio para circulação,O traçado é muito sinuoso ou possui curvas com obstáculos que impedem visualização de entorno ou parte da estrutura,Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura",2,0,7,0,0,0,0,9,"Buracos, Desníveis",0,0,1,0,1,0,1,,"1,2",25,"3,1","10,2","Estacionamento dedicado de um lado, segregado da circulação",,0,0,0,0,0,0,não,continua em outra estrutura,0,0,2,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,7,0,,0,18,Não existem,0,0,0,0,21,11:45:00,"O trecho tem um declive acentuado e muitas travessias de carro por se tratar de acessos a secretarias. É via de escoamento de Sussuarana, bairro vizinho e desemboca na Paralela, principal artéria da região, numa travessia de pedestre intensa, estações de metrô, ônibus, SAC, sem nenhum redutor de velocidade ou radar. 


Muita areia, sinalização horizontal confusa e um buraco de obra antiga promove riscos e demanda ciclista desviar constantemente da ciclofaixa para a faixa de rolamento. ",https://drive.google.com/open?id=1RorGL8itCfQyIfAMreFVtV1Z4vVkix1m,,,,"0,95",CAB,15,8
08/08/2023 16:08:43,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB - 3ª Avenida Centro Administrativo da Bahia,Estação de Metrô CAB ,Cruzamento 5ª Avenida,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,"Pequenas imperfeições, como fissuras",O traçado é muito sinuoso ou possui curvas com obstáculos que impedem visualização de entorno ou parte da estrutura,Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura",3,0,8,0,0,0,0,11,Desníveis,0,0,0,0,1,0,0,,"1,2",25,"3,1","10,05","Estacionamento dedicado de um lado, segregado da circulação",,2,0,0,0,0,0,continua de outra estrutura,continua em outra estrutura,0,0,0,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,7,1,,0,11,Não existem,0,0,0,5,29,11:45:00,"O trecho tem um aclive acentuado e muitas travessias de carro por se tratar de acessos a secretarias, e órgãos públicos como Governadoria e Procuradoria Geral, além de uma Igreja Católica e uma escola estadual.  

Esses prédios tem eventos constantes que são muito concorridos. O que leva ao estacionamento irregular na ciclofaixa demandando o ciclista trafegar na faixa de rolamento.

Em um ponto de ônibus a ciclofaixa simplesmente desaparece. Voltando a aparecer em seguida alguns metros à frente.
",https://drive.google.com/open?id=1lKn0w05G6-lWvT-khcXdhK-1tQFBK7ZX,,,,"1,3",CAB,15,9
08/08/2023 16:19:12,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB - 3ª Avenida Centro Administrativo da Bahia,Vila Policial,Estação de Metrô CAB ,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,"Pequenas imperfeições, como fissuras",O traçado é muito sinuoso ou possui curvas com obstáculos que impedem visualização de entorno ou parte da estrutura,Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura",3,0,6,0,0,0,0,9,Desníveis,0,0,0,0,1,0,0,,"1,2",25,"3,15","10,1","Estacionamento dedicado de um lado, segregado da circulação",,2,0,0,0,1,0,continua de outra estrutura,continua em outra estrutura,0,0,0,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,6,0,,0,17,Não existem,0,0,0,6,21,11:45:00,"O trecho tem um declive acentuado e muitas travessias de Carro por se tratar de acessos a secretarias. Muita areia e desnível no asfalto da estrutura. 

Em horário comercial o CAB tem muita circulação, mas à noite e fins de semana é muito ermo e mal iluminado. 


Ao final do trecho, a travessia da passarela que dá acesso à Estação CAB do Metrô não é sinalizada para o ciclista. Existe apenas uma faixa de pedestre.
",https://drive.google.com/open?id=18rig4uyzxsIo547sgNYu6SV80Jp0TZR8,,,,"0,83",CAB,15,10
08/08/2023 16:26:17,Felipe Brust,Tâmara Olivieri,30/07/2023,08:20:00,CAB 5ª Avenida Centro Administrativo da Bahia,Rótula Sussuarana,Vila Policial,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,2,"Sinalização com pintura, Tachas ou tachões",NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Irregularidades que demandam desvio para circulação,"O traçado é sinuoso, exigindo atenção",Não há árvores nem mudas,"Paradas de ônibus ao longo, Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura",2,0,10,0,0,0,0,12,"Nenhum obstáculo, Placas de Concreto",0,0,0,0,1,2,2,,"1,1",25,3,"9,75","Estacionamento dedicado de um lado, segregado da circulação",,4,0,0,0,1,0,continua de outra estrutura,continua em outra estrutura,0,0,0,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,10,0,,0,18,Não existem,0,0,0,11,5,11:45:00,"O trecho tem muitas travessias de carro por se tratar de acessos a secretarias. A sinalização horizontal é confusa  para pedestres, ciclistas e motoristas. Pinturas antigas 
não apagadas e mais vivas que faixas de pedestres e pintura da ciclofaixa, resquícios de antigas provas automobilísticas. 


Essas competições também deixaram como legado, ao longo da via, diversos prismas, gelos baianos e enormes placas de concreto. Duas delas, no acesso ao Tribunal de 
Justiça e Ministério Público, forçam o ciclista a desviar para a faixa de rolamento.


Sem mencionar, claro, o “fetiche” de motoristas que podem experimentar a sensação de dirigir numa suposta pista de corrida, mas densamente utilizada cotidianamente por 
ônibus, bicicletas e pedestres. 
",https://drive.google.com/open?id=1avzNQH_PiZO47yKCeMd5_IfokAVyrEtE,,,,"1,5",CAB,15,11
09/08/2023 09:40:19,Ediana Fiuza,Lucas Vinicius,01/07/2023,08:40:00,Via: Rua Eng. Oscar Pontes (Trecho 1),"Em frente ao Studio Óculos, ao lado do Santander",Em frente à Feira de São Joaquim,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo direito da via de mão única,60,4,Tachas ou tachões,NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Falhas que demandam redução de velocidade ou parada,O traçado é completamente reto,Não há árvores nem mudas,Cruzamento com veículos em curva de ângulo aberto e sem tratamento de redução de velocidade,0,2,0,0,0,0,0,2,"Bueiros, Valas profundas ao longo da estrutura",2,0,0,-1,0,0,2,,"1,58",10,"15,91","17,6","Estacionamento dedicado de um lado, incluso na circulação",,3,0,0,0,1,0,sim,continua em outra estrutura,1,0,0,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos",Pintura APAGADA ou somente rastros de tinta,0,0,1,,0,1,Não existem,0,0,0,23,0,09:36:00,"-> Invasão constante de carros na ciclovia, especialmente no começo da estrutura.

-> Os carros invadem a ciclovia para passagem ou ultrapassagem, sem utilizar a faixa para acessar o estacionamento localizado à esquerda da ciclofaixa nos trechos iniciais da Av. Oscar Pontes.

-> A chuva no dia evidenciou acúmulos de água muito grandes que exigiam atenção redobrada e forçavam ciclistas a desviar pelas pistas convencionais",https://drive.google.com/open?id=1QZwC4AquHnKu00_AfzwjIHtPza1a6T7-,,,,"1,3",Av. Engenheiro Oscar Pontes,11,12
09/08/2023 09:49:35,Ediana Fiuza,Lucas Vinicius,01/07/2023,09:58:00,Av. Engenheiro Oscar Pontes (Trecho 3),Posto Petróleo,Cruzamento entre a Av. Eng. Oscar Pontes e a Travessa Frederico Pontes,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo esquerdo da via de mão única,60,4,Tachas ou tachões,NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Falhas que demandam redução de velocidade ou parada,O traçado é completamente reto,"Sombras em alguns trechos, SEM mudas novas",Trajeto de conversão permite invasão de automóvel de trecho de linha contínua da estrutura,0,0,2,0,0,0,0,2,"Valas profundas ao longo da estrutura, Desníveis",0,0,0,-1,1,0,1,,"0,96",11,"11,85","12,81","Estacionamento dedicado de um lado, incluso na circulação",,7,0,0,0,1,0,continua de outra estrutura,continua em outra estrutura,1,0,0,Apenas faixas vermelhas nas bordas.,A pintura é falha em VÁRIOS pontos,0,2,1,,0,1,Não existem,0,0,0,7,0,10:30:00,"-> A largura da ciclofaixa no final do trecho avaliado chega até 1,10m
-> Caminhões estacionam na ciclofaixa
-> Não há estacionamento

->Existe um trecho onde a gente não se arriscou, logo depois do posto em direção à 1ª Travessa Frederico Pontes, a ciclofaixa fica imprensada entre os carros e caminhões em alta velocidade e uma mureta de pedra, além disso, ela fica particularmente estreita. Acreditamos que esse trecho é muito perigoso.",https://drive.google.com/open?id=1sno7XzJ6gN8pZsifjvV_MqxmUnmTZ_ZW,,,,"0,57",Av. Engenheiro Oscar Pontes,11,13
09/08/2023 10:01:54,Ediana Fiuza,Lucas Vinicius,01/07/2023,09:36:00,Av. Engenheiro Oscar Pontes (Trecho 2),Cruzamento da Rua João Alfredo Fontenelle com a Av. Eng. Oscar Pontes,Parte de baixo do Viaduto Júlio Paixão nas proximidades do Posto Petróleo,ciclofaixa,"unidirecional, no fluxo dos automóveis",Mão única,No bordo esquerdo da via de mão única,60,4,Tachas ou tachões,NENHUM ou QUASE NENHUM segregador dificultando invasão,Segregadores NÃO DIFICULTAM o acesso,,,,Não se aplica,Asfalto,Falhas que demandam redução de velocidade ou parada,O traçado é completamente reto,Somente mudas novas,Nenhuma situação de risco,0,0,0,0,0,0,0,0,"Bueiros, Buracos, Desníveis",2,0,2,0,1,0,4,,"1,56",10,"11,4",13,"Estacionamento dedicado de um lado, incluso na circulação",,3,0,0,0,2,0,continua de outra estrutura,continua em outra estrutura,2,0,1,"Apenas faixas vermelhas nas bordas, com travessias pintadas nos cruzamentos","A pintura é MUITO falha, mostrando muito asfalto",0,2,0,,0,5,Não existem,0,0,0,16,0,09:58:00,"-> O estacionamento fica na calçada do lado esquerdo da ciclofaixa (que está na esquerda da via), isso força pedestres e ciclistas para cima da ciclofaixa. Além disso é necessário disputar esse pequeno espaço com caminhões e com carros em média/alta velocidade (40kmh a 60kmh)

-> É necessário levar em consideração que a continuidade da ciclofaixa é comprometida no cruzamento com as ruas Eliza Fontenelle e João Alfredo Fontenelle devido a presença de vários gelos baianos e falta de ciclofaixa pintada dificultando bastante a continuação dos ciclistas que vem percorrendo o trecho e precisam atravessar o retorno, entrando em conflito com veículos pesados.",https://drive.google.com/open?id=1F9tsut3pNVm_yWcIFJ7Xl_5RiTHw5ZnH,,,,"0,63",Av. Engenheiro Oscar Pontes,11,14
